serial_id,yt_id,start_time,end_time,video_path
2,Y8HMIm8mdns,171.607767,178.607767,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_2.mp4
4,Swss72CHSWg,90.023267,97.023267,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_4.mp4
1,AvWWVOgaMlk,90.0,97.0,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_1.mp4
6,DuWE-CQDlEk,211.266667,218.266667,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_6.mp4
7,uCGKDCWxqxo,16.56,23.56,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_7.mp4
8,-A9gdf3j2xo,295.165,302.165,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_8.mp4
10,xbgfxIc-nbs,116.149367,123.149367,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_10.mp4
14,UBL2Vowiulk,30.113422,37.113422,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_14.mp4
13,5qy9Ujv9XdM,61.494767,68.494767,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_13.mp4
16,sujFCXbYkMo,30.0,37.0,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_16.mp4
15,LcyrfLT2tto,95.5985,102.5985,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_15.mp4
11,QoQF8N5ZsQA,240.006433,247.006433,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_11.mp4
17,R0u9E8GsUXk,114.466667,121.466667,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_17.mp4
21,Cy9SUMj5wGY,16.133333,23.133333,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_21.mp4
24,PmD-LzPS2rg,282.5823,289.5823,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_24.mp4
23,rCp8Jae81KU,257.6,264.6,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_23.mp4
27,512K2S3De-A,282.6824,289.6824,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_27.mp4
26,IrXrbrZWflA,203.169,210.169,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_26.mp4
28,01qWxISqaHg,87.0,94.0,/Users/abhishekgupte_macbookpro/PycharmProjects/project_combined_repo_clean/thesis_main_files/data/processed/video_files/AVSpeech/video/video_28.mp4
